State,Player,From,To,Pos,GP,G,A,PTS,#ERROR!,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
Massachusetts,Jim Carey,1995,1999,G,172,0,1,1,0,8,172,79,65,16,0.898,2.58,Dorchester,1974-05-31,
Massachusetts,Paul Carey,2014,2020,C,100,8,8,16,-12,20,,,,,,,Boston,1988-09-24,
Massachusetts,John Carlson,2010,2021,D,800,115,400,515,87,268,,,,,,,Natick,1990-01-10,
Massachusetts,Bob Carpenter,1982,1999,C,1178,320,408,728,-82,919,,,,,,,Beverly,1963-07-13,
Massachusetts,John Carter,1986,1993,LW,244,40,50,90,-19,201,,,,,,,Winchester,1963-05-03,
Massachusetts,Art Chisholm,1961,1961,C/D,3,0,0,0,-2,0,,,,,,,Arlington,1934-11-11,
Massachusetts,Michael Colman,1992,1992,D,15,0,1,1,-8,32,,,,,,,Stoneham,1968-08-04,1995-04-05
Massachusetts,Mike Condon,2016,2019,G,129,0,2,2,0,4,129,45,58,17,0.905,2.79,Holliston,1990-04-27,
Massachusetts,Carl Corazzini,2004,2007,C,19,2,1,3,2,2,,,,,,,Framingham,1979-04-21,
Massachusetts,Bob Corkum,1990,2002,C,720,97,103,200,-73,281,,,,,,,Salisbury,1967-12-18,
Massachusetts,Rich Costello,1984,1986,C,12,2,2,4,-6,2,,,,,,,Framingham,1963-06-27,
Massachusetts,Charlie Coyle,2013,2021,C/RW,609,114,185,299,33,229,,,,,,,E. Weymouth,1992-03-02,
Massachusetts,Jim Craig,1980,1984,G,30,0,1,1,0,11,30,11,10,7,0.857,3.78,North Easton,1957-05-31,
Massachusetts,Ted Crowley,1994,1999,D,34,2,4,6,-2,12,,,,,,,Concord,1970-05-03,
Massachusetts,Joey Daccord,2019,2021,G,9,0,0,0,0,0,9,1,4,1,0.894,3.5,Boston,1996-08-19,
Massachusetts,Cleon Daskalakis,1985,1987,G,12,0,0,0,0,0,12,3,4,1,0.839,4.86,Boston,1962-09-29,
Massachusetts,Niko Dimitrakos,2003,2007,RW,158,24,38,62,-1,95,,,,,,,Somerville,1979-05-21,
Massachusetts,Rick DiPietro,2001,2013,G,318,0,19,19,0,129,318,130,136,36,0.902,2.87,Winthrop,1981-09-19,
Massachusetts,Ryan Donato,2018,2021,C,172,35,41,76,-18,30,,,,,,,Boston,1996-04-09,
Massachusetts,Ted Donato,1992,2004,LW,796,150,197,347,-2,396,,,,,,,Boston,1969-04-28,
Massachusetts,Ted Drury,1994,2001,C,414,41,52,93,-66,367,,,,,,,Boston,1971-09-13,
Massachusetts,Dale Dunbar,1986,1989,D,2,0,0,0,0,2,,,,,,,Winthrop,1961-10-14,
Massachusetts,Richie Dunn,1978,1989,D,483,36,140,176,10,314,,,,,,,Boston,1957-05-12,2016-09-20
Massachusetts,Norm Dussault,1948,1951,C,206,31,62,93,,47,,,,,,,Springfield,1925-09-26,2012-08-28
Massachusetts,Jack Eichel,2016,2021,C,375,139,216,355,-69,142,,,,,,,North Chelmsford,1996-10-28,
Massachusetts,Brian Eklund,2006,2006,G,1,0,0,0,0,0,1,0,1,0,0.842,3.09,Braintree,1980-05-24,
Massachusetts,Jim Fahey,2003,2007,D,92,1,24,25,-16,67,,,,,,,Boston,1979-05-11,
Massachusetts,Bobby Farnham,2015,2017,LW,67,8,2,10,-2,138,,,,,,,North Andover,1989-01-21,
Massachusetts,Paul Fenton,1985,1992,LW,411,100,83,183,-69,198,,,,,,,Springfield,1959-12-22,
Massachusetts,Benn Ferriero,2010,2014,RW,98,14,9,23,12,25,,,,,,,Essex,1987-04-29,
Massachusetts,Mike Fidler,1977,1983,LW,271,84,97,181,-51,124,,,,,,,Everett,1956-08-19,
Massachusetts,Tom Fitzgerald,1989,2006,RW,1097,139,190,329,-72,776,,,,,,,Billerica,1968-08-28,
Massachusetts,Brian Flynn,2013,2017,RW,275,27,34,61,-10,32,,,,,,,Lynnfield,1988-07-26,
Massachusetts,Gerry Foley,1955,1969,RW,142,9,14,23,-1,95,,,,,,,Ware,1932-09-22,
Massachusetts,Jon Fontas,1980,1981,C,2,0,0,0,-1,0,,,,,,,Arlington,1955-04-16,
Massachusetts,Robbie Ftorek,1973,1985,C/LW,334,77,150,227,0,262,,,,,,,Needham,1952-01-02,
Massachusetts,Mark Fusco,1984,1985,D,80,3,12,15,-21,42,,,,,,,Burlington,1961-03-12,
Massachusetts,Conor Garland,2019,2021,RW,158,45,43,88,0,56,,,,,,,Scituate,1996-03-11,
Massachusetts,Adam Gaudette,2018,2021,C,153,21,31,52,-26,67,,,,,,,Braintree,1996-10-03,
Massachusetts,Gerry Geran,1918,1926,C,37,5,1,6,,6,,,,,,,Holyoke,1896-08-03,1968-12-05
Massachusetts,Brian Gibbons,2014,2020,C,204,25,42,67,5,58,,,,,,,Braintree,1988-02-26,
Massachusetts,Hal Gill,1998,2014,D,1108,36,148,184,44,962,,,,,,,Concord,1975-04-06,
Massachusetts,Matt Glennon,1992,1992,LW,3,0,0,0,0,2,,,,,,,Hull,1968-09-20,
Massachusetts,Scott Gordon,1990,1991,G,23,0,0,0,0,0,23,2,16,0,0.829,5.6,Brockton,1963-02-06,
Massachusetts,David Gove,2006,2007,C/RW,2,0,1,1,2,0,,,,,,,Centerville,1978-05-04,2017-04-05
Massachusetts,Matt Grzelcyk,2017,2021,D,222,13,54,67,49,140,,,,,,,Charlestown,1994-01-05,
Massachusetts,Bill Guerin,1992,2010,RW,1263,429,427,856,51,1660,,,,,,,Worcester,1970-11-09,
Massachusetts,Noah Hanifin,2016,2021,D,432,32,120,152,-46,111,,,,,,,Boston,1997-01-25,
Massachusetts,Scott Harlow,1988,1988,LW,1,0,1,1,-1,0,,,,,,,East Bridgewater,1963-10-11,
Massachusetts,Hago Harrington,1926,1933,LW,72,9,5,14,,31,,,,,,,Melrose,1904-08-13,1959-07-01
Massachusetts,Jimmy Hayes,2012,2018,RW,334,54,55,109,-29,149,,,,,,,Dorchester,1989-11-21,
Massachusetts,Kevin Hayes,2015,2021,RW,492,126,169,295,19,148,,,,,,,Dorchester,1992-05-08,
Massachusetts,Eric Healey,2006,2006,LW,2,0,0,0,0,2,,,,,,,Hull,1975-01-20,
Massachusetts,Steve Heinze,1992,2003,RW,694,178,158,336,-20,379,,,,,,,Lawrence,1970-01-30,
Massachusetts,Josh Hennessy,2007,2012,C,23,1,0,1,-1,6,,,,,,,Brockton,1985-02-07,
Massachusetts,Vic Heyliger,1938,1944,C,33,2,3,5,,2,,,,,,,Boston,1912-09-26,2006-10-04
Massachusetts,Mark Holden,1982,1985,G,8,0,1,1,0,0,8,2,2,1,0.85,4.03,Weymouth,1957-06-12,
Massachusetts,Jack Hughes,1981,1982,D,46,2,5,7,-29,104,,,,,,,Somerville,1957-07-20,
Massachusetts,Joe Hulbig,1997,2001,LW,55,4,4,8,-12,16,,,,,,,Norwood,1973-09-29,
Massachusetts,Paul Hurley,1969,1969,D,1,0,1,1,1,0,,,,,,,Melrose,1946-07-12,
Massachusetts,Dave Hynes,1974,1975,LW,22,4,0,4,3,2,,,,,,,Cambridge,1951-04-17,
Massachusetts,Doug Janik,2003,2012,D,190,3,16,19,-19,154,,,,,,,Agawam,1980-03-26,
Massachusetts,Bob Jay,1994,1994,D,3,0,1,1,-2,0,,,,,,,Burlington,1965-11-18,
Massachusetts,Dean Jenkins,1984,1984,RW,5,0,0,0,-1,2,,,,,,,Billerica,1959-11-21,
Massachusetts,David Jensen,1985,1988,C,69,9,13,22,-10,22,,,,,,,Newton,1965-08-19,
Massachusetts,Ed Jeremiah,1932,1932,RW/D,15,0,1,1,,0,,,,,,,Worcester,1905-11-04,1967-08-15
Massachusetts,Duane Joyce,1994,1994,D,3,0,0,0,0,0,,,,,,,Pembroke,1965-05-05,
Massachusetts,Chris Kelleher,2002,2002,D,1,0,0,0,0,0,,,,,,,Cambridge,1975-03-23,
Massachusetts,Chris Kreider,2013,2021,LW,565,174,168,342,65,469,,,,,,,Boxford,1991-04-30,
Massachusetts,Bob Kudelski,1988,1996,RW,442,139,102,241,-83,218,,,,,,,Springfield,1964-03-03,
Massachusetts,Mark Kumpel,1985,1991,RW,288,38,46,84,-8,113,,,,,,,Wakefield,1961-03-07,
Massachusetts,Dan LaCouture,1999,2009,LW,337,20,25,45,-44,348,,,,,,,Hyannis,1977-04-18,
Massachusetts,Frenchy Lacroix,1926,1926,G,5,0,0,0,,0,5,1,4,0,,3.43,Newton,1897-10-21,1973-04-12
Massachusetts,Dick Lamby,1979,1981,D,22,0,5,5,-3,22,,,,,,,Auburn,1955-05-03,
Massachusetts,Myles Lane,1929,1934,D,71,4,1,5,,53,,,,,,,Melrose,1905-10-02,1987-08-06
Massachusetts,Peter Laviolette,1989,1989,D,12,0,0,0,2,6,,,,,,,Norwood,1964-12-07,
Massachusetts,Jeff Lazaro,1991,1993,LW,102,14,23,37,3,114,,,,,,,Waltham,1968-03-21,
Massachusetts,Stephen Leach,1986,2000,RW,702,130,153,283,-78,976,,,,,,,Cambridge,1966-01-16,
Massachusetts,Patrick Leahy,2004,2007,RW,50,4,4,8,-1,19,,,,,,,Brighton,1979-06-09,
Massachusetts,Ray LeBlanc,1992,1992,G,1,0,0,0,0,0,1,1,0,0,0.955,1,Fitchburg,1964-10-24,
Massachusetts,Art Lesieur,1929,1936,D,100,4,2,6,,52,,,,,,,Fall River,1907-09-13,1967-12-31
Massachusetts,John Lilley,1994,1996,RW,23,3,8,11,2,13,,,,,,,Wakefield,1972-08-03,
Massachusetts,Clarence MacKenzie,1933,1933,RW,36,4,4,8,,,,,,,,,Cambridge,1909-07-11,1960-06-11
Massachusetts,John Marino,2020,2021,D,94,8,26,34,20,28,,,,,,,North Easton,1997-05-21,
Massachusetts,Greg Mauldin,2004,2011,C,36,5,5,10,2,12,,,,,,,Boston,1982-06-10,
Massachusetts,John McCarthy,2010,2016,LW,88,3,3,6,-24,22,,,,,,,Boston,1986-08-09,
Massachusetts,Bill McCreary,1981,1981,RW,12,1,0,1,-6,4,,,,,,,Springfield,1960-04-15,
Massachusetts,Gerry McDonald,1982,1984,D,8,0,0,0,-5,4,,,,,,,Weymouth,1958-03-18,
Massachusetts,Shawn McEachern,1992,2006,RW,911,256,323,579,26,506,,,,,,,Waltham,1969-02-28,
Massachusetts,Mike McHugh,1989,1992,LW,20,1,0,1,-8,16,,,,,,,Mount Bowdoin,1965-08-16,
Massachusetts,Marty McInnis,1992,2003,RW,796,170,250,420,-41,330,,,,,,,Hingham,1970-06-02,
Massachusetts,Bob McManama,1974,1976,C,99,11,25,36,-6,28,,,,,,,Belmont,1951-10-07,
Massachusetts,Mike Milbury,1976,1987,D,754,49,189,238,175,1552,,,,,,,Brighton,1952-06-17,
Massachusetts,Bob Miller,1978,1985,C,404,75,119,194,-16,220,,,,,,,Medford,1956-09-28,2020-10-01
Massachusetts,Jay Miller,1986,1992,LW,446,40,44,84,-33,1723,,,,,,,Wellesley,1960-07-16,
Massachusetts,Paul Miller,1982,1982,C,3,0,3,3,2,0,,,,,,,Billerica,1959-08-21,
Massachusetts,Bill Moe,1945,1949,D,261,11,42,53,,163,,,,,,,Danvers,1916-10-02,1998
Massachusetts,Jon Morris,1989,1994,C,103,16,33,49,2,47,,,,,,,Lowell,1966-05-06,
Massachusetts,Mike Morrison,2006,2007,G,29,0,1,1,0,2,29,11,7,3,0.871,3.28,Medford,1979-07-11,
Massachusetts,Mike Mottau,2001,2014,D,321,7,51,58,-16,164,,,,,,,Quincy,1978-03-19,
Massachusetts,Eric Nickulas,1999,2006,RW,118,15,23,38,-11,82,,,,,,,Hyannis,1975-03-25,
Massachusetts,Chris Nilan,1980,1992,RW,688,110,115,225,-1,3043,,,,,,,Boston,1958-02-09,
Massachusetts,Brian Noonan,1988,1999,RW,629,116,159,275,-37,518,,,,,,,Boston,1965-05-29,
Massachusetts,Brad Norton,2002,2007,D,124,3,8,11,-3,287,,,,,,,Cambridge,1975-02-13,
Massachusetts,Jeff Norton,1988,2002,D,799,52,332,384,-29,615,,,,,,,Acton,1965-11-25,
Massachusetts,Jack O'Callahan,1983,1989,D,389,27,104,131,18,541,,,,,,,Charlestown,1957-07-24,
Massachusetts,Bill O'Dwyer,1984,1990,C,120,9,13,22,-8,108,,,,,,,Boston,1960-01-25,
Massachusetts,Paul O'Neil,1974,1976,C/RW,6,0,0,0,-3,0,,,,,,,Charlestown,1953-08-24,
Massachusetts,Will O'Neill,2018,2018,D,1,0,0,0,0,0,,,,,,,Boston,1988-04-28,
Massachusetts,Tom O'Regan,1984,1986,C/D,61,5,12,17,-19,10,,,,,,,Cambridge,1961-12-29,
Massachusetts,Chris O'Sullivan,1997,2003,D,62,2,17,19,5,16,,,,,,,Dorchester,1974-05-15,
Massachusetts,Jay Pandolfo,1997,2013,LW,899,100,126,226,-1,164,,,,,,,Winchester,1974-12-27,
Massachusetts,Mike Pandolfo,2004,2004,LW,3,0,0,0,-2,0,,,,,,,Winchester,1979-09-15,
Massachusetts,Adam Pineault,2008,2008,RW,3,0,0,0,-2,0,,,,,,,Holyoke,1986-05-23,
Massachusetts,Brian Pinho,2021,2021,C,2,0,0,0,-2,0,,,,,,,Beverly,1995-05-11,
Massachusetts,Larry Pleau,1970,1972,C,94,9,15,24,-6,22,,,,,,,Lynn,1947-01-29,
Massachusetts,Brian Pothier,2001,2010,D,362,26,92,118,29,202,,,,,,,New Bedford,1977-04-15,
Massachusetts,Tom Poti,1999,2013,D,824,69,258,327,44,586,,,,,,,Worcester,1977-03-22,
Massachusetts,Bob Ring,1966,1966,G,1,0,0,0,,0,1,0,0,0,0.81,7.24,Winchester,1946-10-06,2017-06-22
Massachusetts,Patrick Rissmiller,2004,2011,LW,192,18,28,46,-9,60,,,,,,,Belmont,1978-10-26,
Massachusetts,Mickey Roach,1920,1927,C,211,77,37,114,,54,,,,,,,Boston,1895-05-01,1977-04-01
Massachusetts,Jeremy Roenick,1989,2009,C,1363,513,703,1216,153,1463,,,,,,,Boston,1970-01-17,
Massachusetts,Ed Ronan,1992,1997,RW,182,13,23,36,3,101,,,,,,,Quincy,1968-03-21,
Massachusetts,Kevin Rooney,2017,2021,C,135,16,14,30,1,64,,,,,,,Canton,1993-05-21,
Massachusetts,Steve Rooney,1985,1989,LW,154,15,13,28,-16,496,,,,,,,Canton,1962-06-28,
Massachusetts,Tom Rowe,1977,1983,RW,357,85,100,185,-79,615,,,,,,,Lynn,1956-05-23,
Massachusetts,Michael Ryan,2007,2009,C,83,7,8,15,-15,34,,,,,,,Boston,1980-05-16,
Massachusetts,David Sacco,1994,1996,RW,35,5,13,18,-4,22,,,,,,,Malden,1970-07-31,
Massachusetts,Joe Sacco,1991,2003,RW,738,94,119,213,-44,421,,,,,,,Medford,1969-02-04,
Massachusetts,Zach Sanford,2017,2021,LW,197,37,35,72,14,82,,,,,,,Salem,1994-11-09,
Massachusetts,Cory Schneider,2009,2020,G,409,0,9,9,0,4,409,170,159,58,0.918,2.43,Marblehead,1986-03-18,
Massachusetts,Dwight Schofield,1977,1988,D,211,8,22,30,2,628,,,,,,,Waltham,1956-03-25,
Massachusetts,Conor Sheary,2016,2021,LW,365,83,86,169,4,74,,,,,,,Winchester,1992-06-08,
Massachusetts,Bobby Sheehan,1970,1982,C,310,48,63,111,-41,50,,,,,,,Weymouth,1949-01-11,
Massachusetts,Dave Silk,1980,1986,RW,249,54,59,113,-8,271,,,,,,,Scituate,1958-01-01,
Massachusetts,Frank Simonetti,1985,1988,D,115,5,8,13,-9,76,,,,,,,Melrose,1962-09-11,
Massachusetts,Raymie Skilton,1918,1918,D,1,0,0,0,,0,,,,,,,Cambridge,1889-09-26,1961-07-01
Massachusetts,Garth Snow,1994,2006,G,368,0,5,5,0,190,368,135,147,44,0.901,2.81,Wrentham,1969-07-28,
Massachusetts,Tom Songin,1979,1981,RW,43,5,5,10,-2,22,,,,,,,Norwood,1953-12-20,
Massachusetts,Paul Stanton,1991,1995,D,295,14,49,63,-3,262,,,,,,,Boston,1967-06-22,
Massachusetts,Kevin Stevens,1988,2002,LW,874,329,397,726,-103,1470,,,,,,,Brockton,1965-04-15,
Massachusetts,Jim Stewart,1980,1980,G,1,0,0,0,0,0,1,0,1,0,0.444,15,Cambridge,1957-04-23,
Massachusetts,Paul Stewart,1980,1980,LW/D,21,2,0,2,-1,74,,,,,,,Boston,1954-03-21,
Massachusetts,Brian Strait,2011,2017,D,187,6,23,29,-14,91,,,,,,,Waltham,1988-01-04,
Massachusetts,Mike Sullivan,1992,2002,C,709,54,82,136,-105,203,,,,,,,Marshfield,1968-02-27,
Massachusetts,Bob Sweeney,1987,1996,C/RW,639,125,163,288,-29,804,,,,,,,Concord,1964-01-25,
Massachusetts,Tim Sweeney,1991,1998,LW,291,55,83,138,13,123,,,,,,,Boston,1967-04-12,
Massachusetts,Dean Sylvester,1999,2001,RW,96,21,16,37,-31,32,,,,,,,Hanson,1972-12-30,
Massachusetts,Peter Taglianetti,1985,1995,D,451,18,74,92,22,1106,,,,,,,Framingham,1963-08-15,
Massachusetts,Bob Taylor,1930,1930,RW,6,0,0,0,,4,,,,,,,Newton,1904-08-12,1993-12-12
Massachusetts,Cliff Thompson,1942,1949,D,16,0,1,1,,2,,,,,,,Winchester,1918-12-09,1997-02-06
Massachusetts,Paul Thompson,2016,2017,RW,24,0,3,3,-4,24,,,,,,,Methuen,1988-11-30,
Massachusetts,Billy Tibbetts,2001,2003,RW,82,2,8,10,-20,269,,,,,,,Boston,1974-10-14,
Massachusetts,Keith Tkachuk,1992,2010,LW,1201,538,527,1065,33,2219,,,,,,,Melrose,1972-03-28,
Massachusetts,Lou Trudel,1934,1941,LW,310,50,68,118,,122,,,,,,,Salem,1912-07-21,1972-03-19
Massachusetts,Darren Turcotte,1989,2000,C,635,195,216,411,-14,301,,,,,,,Boston,1968-03-02,
Massachusetts,Frank Vatrano,2016,2021,LW,317,79,53,132,-16,144,,,,,,,East Longmeadow,1994-03-14,
Massachusetts,Mike Vecchione,2017,2017,RW,2,0,0,0,-1,0,,,,,,,Saugus,1993-02-25,
Massachusetts,Jim Vesey,1989,1992,C/RW,15,1,2,3,-4,7,,,,,,,Charlestown,1965-09-29,
Massachusetts,Jimmy Vesey,2017,2021,LW,338,64,53,117,-30,86,,,,,,,Boston,1993-05-26,
Massachusetts,Carl Voss*,1927,1938,C,264,34,71,105,,50,,,,,,,Chelsea,1907-01-06,1993-09-13
Massachusetts,Chris Wagner,2015,2021,C,347,37,26,63,-27,195,,,,,,,Walpole,1991-05-27,
Massachusetts,Kurt Walker,1976,1978,D,71,4,5,9,-2,152,,,,,,,Weymouth,1954-06-10,2018-08-17
Massachusetts,David Warsofsky,2014,2018,D,55,2,9,11,-6,8,,,,,,,Marshfield,1990-05-30,
Massachusetts,Noah Welch,2006,2011,D,75,4,5,9,-5,58,,,,,,,Brighton,1982-08-26,
Massachusetts,Don Wheldon,1975,1975,D,2,0,0,0,0,0,,,,,,,Falmouth,1954-12-28,1985-06-03
Massachusetts,Bill Whelton,1981,1981,D,2,0,0,0,-1,0,,,,,,,Everett,1959-08-28,
Massachusetts,Brian White,1999,1999,D,2,0,0,0,0,0,,,,,,,Winchester,1976-02-07,
Massachusetts,Colin White,2017,2021,C,189,31,53,84,-41,83,,,,,,,Boston,1997-01-30,
Massachusetts,Joe Whitney,2014,2015,RW,5,1,0,1,-1,0,,,,,,,Reading,1988-02-06,
Massachusetts,Ryan Whitney,2006,2014,D,481,50,209,259,-30,383,,,,,,,Boston,1983-02-19,
Massachusetts,Kevin Wortman,1994,1994,D,5,0,0,0,1,2,,,,,,,Saugus,1969-02-22,
Massachusetts,Keith Yandle,2007,2021,D,1019,102,493,595,-54,596,,,,,,,Boston,1986-09-09,
Massachusetts,C.J. Young,1993,1993,RW,43,7,7,14,-6,32,,,,,,,Waban,1968-01-01,
Massachusetts,Scott Young,1988,2006,RW,1181,342,415,757,-40,448,,,,,,,Clinton,1967-10-01,
Michigan,Justin Abdelkader,2008,2020,LW,739,106,146,252,-56,608,,,,,,,Muskegon,1987-02-25,
Michigan,Clarence Abel,1927,1934,D,333,20,18,38,,365,,,,,,,Sault Ste. Marie,1900-05-28,1964-08-01
Michigan,Gerry Abel,1967,1967,LW,1,0,0,0,0,0,,,,,,,Detroit,1944-12-25,
Michigan,Keith Aldridge,2000,2000,D,4,0,0,0,1,0,,,,,,,Detroit,1973-07-20,
Michigan,Jason Bacashihua,2006,2007,G,38,0,1,1,0,2,38,7,17,4,0.897,3.19,Dearborn Heights,1982-09-20,
Michigan,Cliff Barton,1930,1940,RW,85,10,11,21,,25,,,,,,,Sault Ste. Marie,1907-09-03,1969-09-14
Michigan,Mark Beaufait,1993,1993,C,5,1,0,1,-1,0,,,,,,,Livonia,1970-05-13,
Michigan,Chad Billins,2014,2014,D,10,0,3,3,-3,0,,,,,,,Port Huron,1989-05-26,
Michigan,John Blum,1983,1990,D,250,7,34,41,8,610,,,,,,,Detroit,1959-10-08,
Michigan,David Booth,2007,2018,LW,530,124,112,236,-31,216,,,,,,,Detroit,1984-11-24,
Michigan,Reid Boucher,2014,2019,C,133,20,22,42,-33,18,,,,,,,Lansing,1993-09-08,
Michigan,Drayson Bowman,2010,2015,C/LW,179,15,18,33,-8,53,,,,,,,Grand Rapids,1989-03-08,
Michigan,Patrick Brown,2015,2021,C,33,2,1,3,-6,10,,,,,,,Bloomfield Hills,1992-05-29,
Michigan,Tony Bukovich,1944,1945,LW/C,17,7,3,10,,6,,,,,,,Painesdale,1915-08-30,2009-12-19
Michigan,Charlie Burns,1959,1973,C,749,106,198,304,-81,256,,,,,,,Detroit,1936-02-14,
Michigan,Adam Burt,1989,2001,D,737,37,115,152,-52,961,,,,,,,Detroit,1969-01-15,
Michigan,Gord Buynak,1975,1975,D,4,0,0,0,3,2,,,,,,,Detroit,1954-03-19,
Michigan,Dan Bylsma,1996,2004,RW,429,19,43,62,-20,184,,,,,,,Grand Haven,1970-09-19,
Michigan,Jack Campbell,2014,2021,G,76,0,1,1,0,0,76,34,28,6,0.918,2.48,Port Huron,1992-01-09,
Michigan,Ed Carpenter,1920,1921,D,45,10,5,15,,41,,,,,,,Hartford,1890-06-15,1963-04-30
Michigan,Jimmy Carson,1987,1996,C,626,275,286,561,-20,254,,,,,,,Southfield,1968-07-20,
Michigan,Shawn Chambers,1988,2000,D,625,50,185,235,-5,364,,,,,,,Sterling Hts.,1966-10-11,
Michigan,Jalen Chatfield,2021,2021,D,10,0,0,0,-7,6,,,,,,,Ypsilanti,1996-05-16,
Michigan,Jake Chelios,2019,2019,D,5,0,0,0,0,2,,,,,,,Bloomfield Hills,1991-03-08,
Michigan,Chris Cichocki,1986,1989,RW,68,11,12,23,-8,27,,,,,,,Detroit,1963-09-17,
Michigan,Danton Cole,1990,1996,C/RW,318,58,60,118,-26,125,,,,,,,Pontiac,1967-01-10,
Michigan,Ian Cole,2011,2021,D,580,27,115,142,108,529,,,,,,,Ann Arbor,1989-02-21,
Michigan,Sean Collins,2009,2012,D,21,2,1,3,2,12,,,,,,,Troy,1983-10-30,
Michigan,Erik Condra,2011,2019,RW,372,40,59,99,16,176,,,,,,,Trenton,1986-08-06,
Michigan,Chris Conner,2007,2015,RW,180,22,28,50,-1,38,,,,,,,Westland,1983-12-23,
Michigan,Kyle Connor,2017,2021,LW,292,124,117,241,-2,80,,,,,,,Shelby Township,1996-12-09,
Michigan,Andrew Copp,2015,2021,C,399,60,84,144,55,72,,,,,,,Ann Arbor,1994-07-08,
Michigan,Jim Cummins,1992,2004,RW,511,24,36,60,-44,1538,,,,,,,Dearborn,1970-05-17,
Michigan,Tony Curtale,1981,1981,D,2,0,0,0,-1,0,,,,,,,Detroit,1962-01-29,
Michigan,Austin Czarnik,2017,2021,C,125,13,25,38,-12,20,,,,,,,Detroit,1992-12-12,
Michigan,Patrick Davis,2009,2010,RW,9,1,0,1,-2,0,,,,,,,Sterling,1986-12-28,
Michigan,Dave Debol,1980,1981,C,92,26,26,52,-17,4,,,,,,,St. Claire Shores,1956-03-27,
Michigan,Alex DeBrincat,2018,2021,RW,273,108,106,214,4,44,,,,,,,Farmington Hills,1997-12-18,
Michigan,Danny DeKeyser,2013,2021,D,476,31,99,130,6,236,,,,,,,Detroit,1990-03-07,
Michigan,Larry DePalma,1986,1994,LW,148,21,20,41,-41,408,,,,,,,Trenton,1965-10-27,
Michigan,Vic Desjardins,1931,1932,C,87,6,15,21,,33,,,,,,,Sault Ste. Marie,1900-07-04,1988
Michigan,Mike Donnelly,1987,1997,LW,465,114,121,235,10,255,,,,,,,Detroit,1963-10-10,
Michigan,Sheldon Dries,2019,2021,C,48,3,3,6,-8,30,,,,,,,Macomb,1994-04-23,
Michigan,Matt Elich,2000,2001,RW,16,1,1,2,-6,0,,,,,,,Detroit,1979-09-22,
Michigan,Corey Elkins,2010,2010,LW,3,1,0,1,-2,0,,,,,,,West Bloomfield,1985-02-23,
Michigan,Dave Feamster,1982,1985,D,169,13,24,37,7,154,,,,,,,Detroit,1958-09-10,
Michigan,Brian Felsner,1998,1998,LW,12,1,3,4,0,12,,,,,,,Mt. Clemens,1972-11-11,
Michigan,Denny Felsner,1992,1995,LW,18,1,4,5,2,6,,,,,,,Warren,1970-04-29,
Michigan,Jeff Finger,2007,2010,D,199,17,40,57,4,114,,,,,,,Houghton,1979-12-18,
Michigan,Justin Florek,2014,2014,LW,4,1,1,2,1,0,,,,,,,Marquette,1990-05-18,
Michigan,Alex Foster,2008,2008,C,3,0,0,0,0,0,,,,,,,Canton,1984-08-26,
Michigan,Nathan Gerbe,2009,2021,C,427,62,87,149,-28,196,,,,,,,Oxford,1987-07-24,
Michigan,Ben Gleason,2019,2019,D,4,0,1,1,-1,0,,,,,,,Ortonville,1998-03-25,
Michigan,Tim Gleason,2004,2015,D,727,17,125,142,-37,701,,,,,,,Clawson,1983-01-29,
Michigan,Luke Glendening,2014,2021,C,542,54,68,122,-46,192,,,,,,,Grand Rapids,1989-04-28,
Michigan,Rob Globke,2006,2008,C,46,1,1,2,-6,8,,,,,,,Farmington,1982-10-24,
Michigan,Kevin Gravel,2016,2020,D,109,1,12,13,-2,12,,,,,,,Kingsford,1992-03-06,
Michigan,Andy Greene,2007,2021,D,975,50,203,253,-9,267,,,,,,,Trenton,1982-10-30,
Michigan,Matt Greene,2006,2017,D,615,17,63,80,-10,663,,,,,,,Grand Ledge,1983-05-13,
Michigan,Mike Grier,1997,2011,RW,1060,162,221,383,-9,510,,,,,,,Detroit,1975-01-05,
Michigan,Adam Hall,2002,2014,RW,682,69,87,156,-76,282,,,,,,,Kalamazoo,1980-08-14,
Michigan,Brandon Halverson,2018,2018,G,1,0,0,0,0,0,1,0,0,0,0.833,4.78,Traverse City,1996-03-29,
Michigan,Mark Hamway,1985,1987,RW,53,5,13,18,-7,9,,,,,,,Detroit,1961-08-09,
Michigan,Mike Hartman,1987,1995,LW,397,43,35,78,-34,1388,,,,,,,Detroit,1967-02-07,
Michigan,Derian Hatcher,1992,2008,D,1045,80,251,331,74,1581,,,,,,,Sterling Hts.,1972-06-04,
Michigan,Kevin Hatcher,1985,2001,D,1157,227,450,677,-26,1392,,,,,,,Detroit,1966-09-09,
Michigan,Connor Hellebuyck,2016,2021,G,304,0,7,7,0,4,304,168,96,25,0.917,2.62,Commerce,1993-05-19,
Michigan,Dwight Helminen,2009,2010,C,27,2,1,3,-3,0,,,,,,,Hancock,1983-06-22,
Michigan,T.J. Hensick,2008,2011,C,112,12,26,38,-16,18,,,,,,,Lansing,1985-12-10,
Michigan,Andy Hilbert,2002,2010,C/LW,307,42,62,104,9,132,,,,,,,Lansing,1981-02-06,
Michigan,Mark Howe*,1980,1995,D,929,197,545,742,400,455,,,,,,,Detroit,1955-05-28,
